Imants Ziedonis,42

Total frames:,132
Consolidated frames:,30

> Consolidated frames: <

Status,Type,Count,SourceId
,0,2,,"(4, 46)","(2, 44)","(3, 45)","(1, 42)"
,22,1,Pipeline parse at 2013-10-12T05:37:41.446575,"(6, 75168)","(3, 42)","(2, 77981)"
,22,1,Pipeline parse at 2013-10-12T05:34:20.436253,"(3, 42)","(2, 103510)"
,22,1,Pipeline parse at 2013-10-12T05:53:43.012841,"(6, 75168)","(3, 42)","(2, 75173)"
,22,1,Pipeline parse at 2013-10-12T05:49:01.704257,"(6, 75168)","(3, 42)","(2, 103510)"
,22,1,Pipeline parse at 2013-10-12T05:52:57.514735,"(6, 75392)","(5, 75392)","(3, 42)"
,22,1,Pipeline parse at 2013-10-12T05:34:20.436185,"(3, 42)","(2, 103510)"
,22,1,Pipeline parse at 2013-10-12T05:53:43.012644,"(6, 75168)","(3, 42)","(2, 75173)"
,22,1,Pipeline parse at 2013-10-12T05:51:38.074600,"(6, 77269)","(3, 42)","(2, 75173)"
,22,1,Pipeline parse at 2013-10-12T05:57:31.967625,"(6, 75168)","(3, 42)","(2, 77981)"
,22,1,Pipeline parse at 2013-10-12T05:37:27.425053,"(6, 75176)","(3, 42)","(2, 75176)"
,22,1,Pipeline parse at 2013-10-12T05:43:25.735251,"(6, 75168)","(3, 42)","(2, 75173)"
,22,1,Pipeline parse at 2013-10-12T05:55:31.452546,"(6, 56)","(3, 42)","(2, 118699)"
,22,1,Pipeline parse at 2013-10-12T05:57:57.995905,"(6, 75168)","(3, 42)","(2, 75173)"
,22,1,Pipeline parse at 2013-10-12T06:00:21.564195,"(6, 75168)","(3, 42)","(2, 75176)"
,22,1,Pipeline parse at 2013-10-12T06:01:23.782260,"(6, 75168)","(3, 42)","(2, 103510)"
,22,1,Pipeline parse at 2013-10-12T05:41:25.758718,"(6, 75168)","(3, 42)","(2, 77981)"
,22,1,Pipeline parse at 2013-10-12T05:49:13.643280,"(6, 75168)","(3, 42)","(2, 75173)"
,22,1,Pipeline parse at 2013-10-12T05:59:09.405559,"(6, 75168)","(3, 42)","(2, 77981)"
,22,1,Manual sample data - kasjauns.lv,"(1, 42)","(2, 63)","(6, 54)"
,22,1,Pipeline parse at 2013-10-12T05:59:09.405654,"(6, 75168)","(3, 42)","(2, 77981)"
,22,1,Pipeline parse at 2013-10-12T05:49:01.704861,"(6, 75168)","(3, 42)","(2, 77981)"
,22,1,Pipeline parse at 2013-10-12T05:41:25.758911,"(6, 75168)","(3, 42)","(2, 77981)"
,22,1,Pipeline parse at 2013-10-12T05:55:20.191232,"(6, 75168)","(3, 42)","(2, 77981)"
,22,1,Pipeline parse at 2013-10-12T05:53:43.013292,"(6, 77269)","(3, 42)","(2, 75173)"
,22,1,Pipeline parse at 2013-10-12T06:00:21.564292,"(6, 75168)","(3, 42)","(2, 75176)"
,22,1,Manual sample data - LETA,"(1, 42)","(2, 63)","(6, 54)"
,22,1,Pipeline parse at 2013-10-12T06:00:21.564825,"(6, 75176)","(3, 42)","(2, 75176)"
,22,1,Pipeline parse at 2013-10-12T05:41:07.643902,"(6, 75168)","(3, 42)","(2, 75173)"
,22,1,Pipeline parse at 2013-10-12T05:53:47.646115,"(6, 75168)","(3, 42)","(2, 103510)"
,22,1,Pipeline parse at 2013-10-12T05:51:38.074238,"(6, 75168)","(3, 42)","(2, 75173)"
,22,1,Manual sample data - LETA,"(1, 42)","(2, 66)","(6, 56)"
,22,1,Pipeline parse at 2013-10-12T05:37:27.424611,"(6, 75168)","(3, 42)","(2, 75176)"
,22,1,Pipeline parse at 2013-10-12T05:36:23.389885,"(6, 77269)","(3, 42)","(2, 75173)"
,22,1,Pipeline parse at 2013-10-12T05:37:27.424415,"(6, 75168)","(3, 42)","(2, 75176)"
,22,1,Pipeline parse at 2013-10-12T05:37:41.447078,"(6, 75168)","(3, 42)","(2, 77981)"
,22,1,Pipeline parse at 2013-10-12T05:57:31.967821,"(6, 75168)","(3, 42)","(2, 77981)"
,22,1,Pipeline parse at 2013-10-12T05:41:07.643972,"(6, 75168)","(3, 42)","(2, 75173)"
,22,1,Pipeline parse at 2013-10-12T05:57:57.996014,"(6, 75168)","(3, 42)","(2, 75173)"
,22,1,Pipeline parse at 2013-10-12T05:41:07.644043,"(6, 75168)","(3, 42)","(2, 75173)"
,22,1,Pipeline parse at 2013-10-12T05:51:38.074160,"(6, 75168)","(3, 42)","(2, 75173)"
,22,1,Pipeline parse at 2013-10-12T05:36:23.389336,"(6, 75168)","(3, 42)","(2, 75173)"
